dimension,seed,num_states,num_transitions,parentless_states,fixed_points,num_sccs,num_attractors,attractor_sizes,num_transient_sccs,transient_scc_sizes,scc_edges
10,101,1024,5120,0,0,24,1,[956],23,"[32, 4, 4, 4, 4, 2, 2, 1, 1, 1]",96
10,202,1024,4739,1,3,167,4,"[2, 1, 1, 1]",163,"[326, 229, 48, 28, 24, 24, 24, 24, 7, 7]",697
10,303,1024,5248,1,0,221,2,"[512, 2]",219,"[24, 24, 16, 16, 8, 8, 8, 8, 8, 8]",1156
10,404,1024,4993,0,1,121,2,"[2, 1]",119,"[742, 64, 16, 16, 14, 8, 8, 2, 2, 2]",522
10,505,1024,5376,2,0,9,1,[1016],8,"[1, 1, 1, 1, 1, 1, 1, 1]",16
11,101,2048,11010,0,2,61,2,"[1, 1]",59,"[1974, 8, 8, 1, 1, 1, 1, 1, 1, 1]",204
11,202,2048,11012,1,4,38,5,"[2, 1, 1, 1, 1]",33,"[2008, 2, 2, 1, 1, 1, 1, 1, 1, 1]",95
11,303,2048,11010,1,2,996,2,"[1, 1]",994,"[192, 192, 64, 64, 48, 48, 48, 48, 24, 24]",5512
11,404,2048,11777,3,1,193,1,[1],192,"[1728, 4, 4, 4, 4, 4, 4, 4, 4, 4]",926
11,505,2048,12032,0,0,5,1,[2040],4,"[2, 2, 2, 2]",8
12,101,4096,23553,0,1,47,1,[1],46,"[4020, 4, 4, 4, 4, 4, 4, 4, 4, 4]",169
12,202,4096,23552,2,0,1523,2,"[4, 2]",1521,"[896, 199, 199, 198, 198, 110, 108, 108, 94, 8]",9562
12,303,4096,24577,1,1,292,1,[1],291,"[2039, 880, 416, 230, 111, 32, 14, 14, 8, 8]",1775
12,404,4096,24065,2,1,89,1,[1],88,"[4000, 2, 2, 2, 2, 2, 2, 2, 2, 1]",308
12,505,4096,26624,0,0,1,1,[4096],0,[],0
13,137,8192,51200,0,0,140,1,[2040],139,"[4008, 1024, 168, 96, 48, 48, 24, 24, 24, 16]",813
13,2025,8192,55297,0,1,53,1,[1],52,"[8128, 4, 4, 4, 4, 1, 1, 1, 1, 1]",184
13,256,8192,53248,1,0,22,1,[4022],21,"[4096, 4, 4, 4, 4, 4, 4, 4, 4, 4]",57
13,42,8192,54272,0,0,189,1,[7912],188,"[15, 15, 15, 15, 4, 4, 4, 4, 4, 4]",769
13,999,8192,55298,1,2,107,2,"[1, 1]",105,"[6072, 2000, 4, 4, 4, 4, 4, 1, 1, 1]",428
16,1234,65536,507905,3,1,177,1,[1],176,"[65360, 1, 1, 1, 1, 1, 1, 1, 1, 1]",656
16,314,65536,532480,0,0,33,1,[2],32,"[65472, 2, 2, 2, 2, 2, 2, 2, 2, 2]",96
16,4321,65536,507904,2,0,58,1,[32736],57,"[32736, 2, 2, 2, 2, 2, 2, 2, 2, 1]",177
16,777,65536,507907,0,3,1690,3,"[1, 1, 1]",1687,"[31616, 15168, 15152, 120, 120, 120, 120, 60, 60, 60]",11474
16,8888,65536,524290,1,2,217,2,"[1, 1]",215,"[65320, 1, 1, 1, 1, 1, 1, 1, 1, 1]",856
5,1,32,82,2,2,32,2,"[1, 1]",30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",80
5,2,32,81,1,1,32,1,[1],31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",80
5,3,32,81,1,1,32,1,[1],31,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",80
